Name,a1,a2,b1,b2,c1,c2,norm,mean,sigma,scale,weight,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2016_Electron,6.6e-05,-3.5e-05,220,220,1.015,0.985,0.989711,150.181,32.6002,1.61183,0.411453,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2017_Electron,4.2e-05,-2.2e-05,215,215,1.015,0.985,0.989132,173.936,33.9362,2.18312,2.66703,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2018_Electron,2.5e-05,-1e-05,240,240,1.015,0.985,0.99313,176.082,28.6953,1.76403,0.650608,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_Bkg_2016_Electron,6.6e-05,-3.5e-05,220,220,1.015,0.985,0.997943,127.236,37.7886,2.14532,0.255863,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_Bkg_2017_Electron,4.2e-05,-2.2e-05,215,215,1.015,0.985,0.99718,152.958,32.5774,2.00098,0.462196,
HT-Le600--SingleElectrontrigger-E1--Nele-E1_Bkg_2018_Electron,2.5e-05,-1e-05,240,240,1.015,0.985,0.995438,153.834,32.8458,2.06563,0.314139,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2016_Muon,7.5e-06,-1.5e-05,225,225,1.005,0.992,0.990121,94.2287,36.1596,0,0,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2017_Muon,1.3e-05,-2e-05,225,225,1.01,0.985,0.987811,76.2576,62.7495,0,0,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2018_Muon,1.5e-05,-2.2e-05,220,220,1.01,0.99,0.9933,80.5456,62.3362,0,0,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_Bkg_2016_Muon,7.5e-06,-1.5e-05,225,225,1.005,0.992,0.998012,82.423,31.9712,3.61005,-0.0743588,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_Bkg_2017_Muon,1.3e-05,-2e-05,225,225,1.01,0.985,0.994108,33.8872,20.6883,0,0,
HT-Le600--SingleMuontrigger-E1--Nmu-E1_Bkg_2018_Muon,1.5e-05,-2.2e-05,220,220,1.01,0.99,0.995574,130.52,7.86255,7.79768,1.57079,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2016_Electron,2.5e-05,-9.95e-06,250,250,1.015,0.985,0.994065,146.786,16.7504,4.10515,0.94384,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2017_Electron,3e-05,-9.9e-06,240,240,1.01,0.985,0.991368,173.515,47.6675,0,0,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2018_Electron,2.1e-05,-9.95e-06,250,250,1.01,0.985,0.994342,171.066,45.6343,0,0,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_Bkg_2016_Electron,2.5e-05,-9.95e-06,250,250,1.015,0.985,0.99749,143.911,7.18271,8.44625,0.740208,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_Bkg_2017_Electron,3e-05,-9.9e-06,240,240,1.01,0.985,0.996374,150.136,46.0722,0,0,
HT-G600--HT-L750--SingleElectrontrigger-E1--Nele-E1_Bkg_2018_Electron,2.1e-05,-9.95e-06,250,250,1.01,0.985,0.997071,146.842,44.9368,0,0,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2016_Muon,4e-05,-1.5e-05,215,215,1.015,0.985,0.995908,73.1987,60.0548,0,0,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2017_Muon,9.5e-05,-4e-05,200,200,1.015,0.985,0.994308,104.012,58.4406,0,0,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2018_Muon,3.75e-05,-1.5e-05,220,220,1.01,0.99,0.996821,97.592,61.6465,0,0,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_Bkg_2016_Muon,4e-05,-1.5e-05,215,215,1.015,0.985,0.99884,27.2696,8.59207,8.59205,1.56964,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_Bkg_2017_Muon,9.5e-05,-4e-05,200,200,1.015,0.985,0.998317,153.338,1.03079,42.48,0.460849,
HT-G600--HT-L750--SingleMuontrigger-E1--Nmu-E1_Bkg_2018_Muon,3.75e-05,-1.5e-05,220,220,1.01,0.99,0.997994,73.8498,7.73186,7.73184,1.57077,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2016_Electron,1.5e-05,-1e-05,250,250,1.015,0.985,0.994312,105.464,89.806,0,0,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2017_Electron,8e-06,-1.5e-05,250,250,1.015,0.985,0.994709,173.972,50.0636,0,0,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_SingleElectron_2018_Electron,2e-05,-5.5e-06,250,250,1.015,0.985,0.995566,165.646,49.0898,0,0,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_Bkg_2016_Electron,1.5e-05,-1e-05,250,250,1.015,0.985,0.997006,88.9409,81.5966,0,0,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_Bkg_2017_Electron,8e-06,-1.5e-05,250,250,1.015,0.985,0.998106,153.273,4.71317,11.1126,1.17468,
HT-Ge750--SingleElectrontrigger-E1--Nele-E1_Bkg_2018_Electron,2e-05,-5.5e-06,250,250,1.015,0.985,0.998341,153.103,39.7474,2.27547,0.262159,
HT-Ge750--SingleMuontrigger-E1--Nmu-E1_SingleMuon_2016_Muon,4.5e-05,-9.5e-06,235,235,1.015,0.985,0.997737,83.9369,74.8801,0,0,
