m_N2 m_N1 constPlus percentPlus constMinus percentMinus fDalitz percentDalitz
100 50 0.638645 0.047474 0.212801 0.0509894 0.651526 0.0590316
100 60 0.41996 0.0416127 0.138924 0.0566341 0.658338 0.0584519
100 70 0.247504 0.0376863 0.0818479 0.0607283 0.662594 0.0580867
100 80 0.117146 0.0351679 0.0388559 0.06342 0.664864 0.0578909
100 90 0.0316567 0.0337489 0.0105331 0.0649504 0.666147 0.05778
100 93 0.015924 0.0335174 0.00530063 0.0652236 0.666484 0.0577508
100 95 0.0082735 0.0334072 0.00275465 0.0653552 0.666662 0.0577355
100 97 0.00303488 0.0333349 0.00101089 0.0654159 0.666613 0.0577396
125 75 1.16961 0.048808 0.366635 0.0534026 0.658338 0.0584519
125 85 0.734355 0.0422414 0.235375 0.0579865 0.66183 0.0581523
125 95 0.417346 0.0379689 0.136024 0.0613686 0.664023 0.0579635
125 105 0.191742 0.0352641 0.0632514 0.0636769 0.6655 0.057836
125 115 0.0505387 0.0337722 0.0167924 0.0650244 0.666389 0.0577591
125 118 0.0252491 0.0335267 0.00839981 0.0652564 0.666582 0.0577424
125 120 0.0130617 0.0334136 0.0043479 0.0653645 0.666668 0.0577349
125 122 0.00477123 0.0333329 0.00158926 0.0654075 0.666542 0.0577458
150 100 1.85247 0.0493834 0.564549 0.0545604 0.661324 0.0581959
150 110 1.13365 0.0425483 0.357933 0.0586416 0.663377 0.0580192
150 120 0.630699 0.0381055 0.204064 0.0617071 0.664864 0.0578909
150 130 0.284549 0.0353115 0.0935937 0.0638146 0.665861 0.0578047
150 140 0.0738114 0.033784 0.0245089 0.0650579 0.666486 0.0577506
150 143 0.036713 0.0335326 0.0122091 0.0652796 0.666672 0.0577346
150 145 0.0189376 0.033416 0.00630336 0.0653678 0.666661 0.0577355
150 147 0.00689873 0.0333332 0.00229771 0.0654115 0.666559 0.0577443
175 125 2.68709 0.0496983 0.806371 0.055217 0.66297 0.0580543
175 135 1.61816 0.0427145 0.506542 0.0590184 0.66427 0.0579422
175 145 0.887637 0.0381773 0.285998 0.0618974 0.665321 0.0578515
175 155 0.395535 0.0353439 0.129884 0.0638941 0.66605 0.0577884
175 165 0.101471 0.0337889 0.0336799 0.0650826 0.666565 0.0577438
175 168 0.0503165 0.0335366 0.0167306 0.0652844 0.666668 0.0577349
175 170 0.0259029 0.033416 0.00862154 0.0653621 0.666604 0.0577405
175 172 0.00941736 0.0333348 0.00313645 0.0654117 0.666554 0.0577448
200 150 3.67321 0.0498898 1.09242 0.0555888 0.663763 0.057986
200 160 2.18723 0.042815 0.681183 0.0592562 0.664864 0.0578909
200 170 1.18809 0.0382262 0.381779 0.0620304 0.665718 0.0578171
200 180 0.524716 0.0353631 0.172131 0.0639405 0.666147 0.05778
200 190 0.133526 0.0337939 0.0443037 0.0651048 0.666662 0.0577355
200 193 0.0660561 0.0335398 0.021963 0.0652874 0.666665 0.0577352
200 195 0.0339566 0.0334146 0.0113023 0.0653551 0.666551 0.0577451
200 197 0.0123269 0.0333369 0.00410525 0.0654169 0.666584 0.0577421
225 175 4.81164 0.0500088 1.4221 0.0558647 0.664478 0.0579243
225 185 2.84132 0.0428754 0.881995 0.0594006 0.665174 0.0578641
225 195 1.53212 0.0382563 0.491504 0.0621037 0.665861 0.0578047
225 205 0.672108 0.0353784 0.220306 0.0639819 0.666274 0.057769
225 215 0.169968 0.0337974 0.0563875 0.0651112 0.666672 0.0577346
225 218 0.0839395 0.0335393 0.0279074 0.0652854 0.666636 0.0577376
225 220 0.0430985 0.0334137 0.0143451 0.0653519 0.666526 0.0577472
225 222 0.0156277 0.0333362 0.00520425 0.0654205 0.666602 0.0577406
250 200 6.1007 0.0500887 1.79604 0.0560351 0.664864 0.0578909
250 210 3.58054 0.0429207 1.10874 0.0595161 0.6655 0.057836
250 220 1.91957 0.0382841 0.61511 0.0621569 0.665979 0.0577946
250 230 0.837701 0.0353873 0.274417 0.0640148 0.666389 0.0577591
250 240 0.210803 0.0338004 0.0699284 0.0651141 0.666668 0.0577349
250 243 0.103959 0.0335387 0.0345634 0.0652819 0.666602 0.0577406
250 245 0.0533288 0.0334148 0.0177488 0.0653581 0.666559 0.0577443
250 247 0.0193193 0.0333367 0.0064335 0.0654224 0.666612 0.0577398
275 225 7.54142 0.0501394 2.21426 0.0561421 0.665042 0.0578756
275 235 4.405 0.0429518 1.36139 0.0596134 0.665816 0.0578087
275 245 2.35067 0.0382959 0.7526 0.0621946 0.666049 0.0577885
275 255 1.02151 0.0353937 0.334485 0.0640364 0.666461 0.0577528
275 265 0.256022 0.0338038 0.084925 0.0651166 0.666668 0.0577349
275 268 0.126119 0.0335382 0.0419317 0.0652769 0.666565 0.0577438
275 270 0.0646484 0.0334159 0.0215152 0.0653595 0.666563 0.057744
275 272 0.023402 0.0333368 0.00779327 0.0654202 0.666598 0.057741
300 250 9.13518 0.0501828 2.67562 0.0562617 0.665426 0.0578423
300 260 5.31407 0.0429743 1.64053 0.0596557 0.665861 0.0578047
300 270 2.82536 0.0383108 0.90392 0.0622303 0.666147 0.05778
300 280 1.22346 0.0353996 0.400517 0.0640484 0.666486 0.0577506
300 290 0.305634 0.0338028 0.101379 0.0651174 0.666661 0.0577355
300 293 0.150418 0.0335374 0.050011 0.0652731 0.666535 0.0577464
300 295 0.0770548 0.0334171 0.0256443 0.065358 0.666549 0.0577452
300 297 0.0278761 0.0333362 0.00928289 0.0654222 0.666607 0.0577402
325 275 10.8801 0.0502124 3.1813 0.0563381 0.66563 0.0578248
325 285 6.30802 0.0429992 1.94552 0.059701 0.665975 0.0577949
325 295 3.34357 0.038324 1.06908 0.0622618 0.666249 0.0577712
325 305 1.44362 0.0354029 0.47246 0.0640662 0.666551 0.0577451
325 315 0.359651 0.033803 0.119292 0.0651148 0.666635 0.0577378
325 318 0.176857 0.033537 0.0587984 0.0652759 0.666546 0.0577455
325 320 0.0905503 0.0334177 0.0301347 0.0653608 0.666565 0.0577438
325 322 0.0327412 0.0333357 0.0109027 0.065424 0.666619 0.0577392
350 300 12.7769 0.0502374 3.73074 0.0564048 0.665825 0.0578079
350 310 7.38711 0.0430106 2.27656 0.0597362 0.66605 0.0577884
350 320 3.90532 0.0383304 1.24818 0.0622819 0.666301 0.0577667
350 330 1.68193 0.0354045 0.550387 0.0640733 0.666565 0.0577438
350 340 0.418048 0.0338028 0.138663 0.0651118 0.666604 0.0577405
350 343 0.205434 0.0335379 0.0682969 0.0652781 0.666559 0.0577443
350 345 0.105134 0.0334183 0.0349862 0.0653655 0.666595 0.0577412
350 347 0.0379974 0.0333355 0.0126528 0.0654259 0.666632 0.057738
375 325 14.8252 0.0502563 4.32488 0.0564379 0.665861 0.0578047
375 335 8.55074 0.0430198 2.63394 0.0597537 0.666058 0.0577877
375 345 4.51073 0.0383363 1.44105 0.0623051 0.666389 0.0577591
375 355 1.93849 0.0354068 0.634218 0.0640855 0.666617 0.0577393
375 365 0.480841 0.0338024 0.159482 0.0651144 0.666617 0.0577393
375 368 0.236153 0.033539 0.0785067 0.0652795 0.666564 0.057744
375 370 0.120806 0.0334179 0.0402005 0.0653672 0.666602 0.0577406
375 372 0.0436446 0.0333352 0.0145331 0.0654266 0.666636 0.0577377
400 350 17.0248 0.0502793 4.96284 0.0564687 0.665913 0.0578002
400 360 9.79999 0.0430323 3.01697 0.0597833 0.666147 0.05778
400 370 5.15966 0.0383408 1.6479 0.0623178 0.666424 0.057756
400 380 2.21327 0.0354097 0.723998 0.0640956 0.666662 0.0577355
400 390 0.548026 0.0338014 0.181778 0.0651047 0.666551 0.0577451
400 393 0.269007 0.0335396 0.0894287 0.0652789 0.666558 0.0577444
400 395 0.137566 0.0334179 0.0457778 0.0653671 0.6666 0.0577408
400 397 0.0496828 0.0333353 0.016544 0.0654248 0.666622 0.0577389
425 375 19.3763 0.0502923 5.64404 0.0565087 0.666036 0.0577896
425 385 11.134 0.0430432 3.42598 0.0598106 0.666242 0.0577718
425 395 5.85207 0.0383454 1.86855 0.0623342 0.666487 0.0577506
425 405 2.50615 0.0354122 0.819762 0.0640986 0.666664 0.0577352
425 415 0.619602 0.033801 0.205521 0.0651023 0.666534 0.0577465
425 418 0.304003 0.03354 0.101062 0.0652781 0.666549 0.0577452
425 420 0.155412 0.0334182 0.0517166 0.0653678 0.666603 0.0577406
425 422 0.0561117 0.0333356 0.0186854 0.0654221 0.666604 0.0577405
450 400 21.8797 0.050299 6.37002 0.0565273 0.666058 0.0577877
450 410 12.5532 0.0430495 3.8613 0.0598254 0.666274 0.057769
450 420 6.58799 0.0383493 2.10323 0.0623391 0.666486 0.0577506
450 430 2.81732 0.0354134 0.921466 0.0641019 0.666672 0.0577346
450 440 0.695568 0.0338005 0.230717 0.0651015 0.666526 0.0577472
450 443 0.341136 0.0335406 0.113404 0.0652803 0.666563 0.057744
450 445 0.174349 0.0334184 0.0580186 0.0653671 0.666599 0.0577409
450 447 0.0629316 0.0333358 0.0209563 0.0654234 0.666613 0.0577396
475 425 24.5342 0.0503057 7.14013 0.0565407 0.666066 0.057787
475 435 14.0574 0.0430558 4.32232 0.059847 0.666354 0.0577621
475 445 7.36757 0.0383506 2.35163 0.0623513 0.666529 0.057747
475 455 3.14664 0.0354149 1.0291 0.0641073 0.666689 0.0577331
475 465 0.775925 0.0338008 0.257357 0.0651058 0.666547 0.0577454
475 468 0.380408 0.0335412 0.126454 0.065284 0.666588 0.0577419
475 470 0.194374 0.033418 0.0646821 0.0653672 0.666599 0.0577409
475 472 0.0701431 0.0333358 0.0233581 0.0654215 0.666601 0.0577407
500 450 27.3417 0.0503185 7.95322 0.0565665 0.666147 0.05778
500 460 15.6464 0.0430596 4.80967 0.0598589 0.666389 0.0577591
500 470 8.19031 0.0383527 2.61393 0.0623606 0.666563 0.057744
500 480 3.49418 0.0354165 1.14275 0.0641049 0.666668 0.0577349
500 490 0.860675 0.0338017 0.285459 0.0651077 0.666559 0.0577443
500 493 0.421818 0.0335417 0.140215 0.065287 0.666602 0.0577406
500 495 0.215488 0.0334178 0.0717062 0.0653688 0.666607 0.0577402
500 497 0.0777457 0.0333358 0.0258895 0.0654226 0.666606 0.0577403
526 475 32.0992 0.0512418 9.26977 0.0562172 0.666196 0.0577758
526 485 18.4402 0.0436577 5.64077 0.0595813 0.666426 0.0577558
526 495 9.76534 0.0387364 3.10652 0.0621502 0.666559 0.0577443
526 505 4.28476 0.0356463 1.39852 0.0639656 0.666666 0.0577351
526 516 0.953479 0.0338021 0.316228 0.0651097 0.666569 0.0577435
526 518 0.610044 0.0336182 0.202654 0.0652311 0.666569 0.0577435
526 520 0.343358 0.0334748 0.114204 0.0653291 0.666593 0.0577414
526 522 0.15284 0.033371 0.0508782 0.0654019 0.666626 0.0577385
550 500 33.4117 0.0503361 9.71179 0.0566018 0.666252 0.0577709
550 510 19.08 0.0430674 5.86243 0.059881 0.666461 0.0577528
550 520 9.96682 0.0383568 3.18027 0.0623718 0.666597 0.057741
550 530 4.24371 0.0354199 1.38782 0.0641074 0.666668 0.0577349
550 540 1.04336 0.0338028 0.346035 0.0651091 0.666563 0.057744
550 544 0.375595 0.0334747 0.124925 0.0653302 0.666598 0.057741
550 546 0.167161 0.0333712 0.0556464 0.0653999 0.666613 0.0577397
550 548 0.0418854 0.0333104 0.0139508 0.0654403 0.666613 0.0577396
576 526 36.8069 0.0503396 10.696 0.0566134 0.666277 0.0577688
576 536 20.999 0.0430706 6.45107 0.0598904 0.666488 0.0577505
576 546 10.9599 0.0383576 3.49659 0.0623802 0.666634 0.0577379
